area,year,planned_count,unplanned_count,transmission_outage_count,production_unavailability_count,consumption_unavailability_count
AD2,2023,0,0,0,1,0
AD2,2024,0,0,0,1,0
AD2,2025,0,0,0,0,0
AD3,2025,0,0,0,0,0
AL1,2021,0,0,0,0,0
AL2,2013,0,0,0,0,0
AL2,2021,0,0,0,0,0
AL2,2022,0,1,0,1,0
AL3,2021,0,0,0,0,0
AL7,2017,0,0,0,0,0
AN2,2016,2,0,0,2,0
AN5,2014,1,0,0,1,0
AT1,2025,0,0,0,0,0
AT2,2025,0,0,0,0,0
AT4,2025,0,0,0,0,0
BP2,2019,2,0,2,0,0
CG8,2024,0,0,0,2,0
CO2,2023,0,0,0,1,0
DK1,2013,3,2,3,0,0
DK1,2014,11,1,23,0,0
DK1,2015,12,0,12,0,0
DK1,2016,7,0,8,0,0
DK1,2017,7,0,15,0,0
DK1,2018,3,0,18,0,0
DK1,2019,0,1,27,0,0
DK1,2020,1,0,17,0,0
DK1,2021,0,1,32,0,0
DK1,2022,0,0,18,0,0
DK1,2023,1,1,5,0,0
DK1,2024,0,0,12,0,0
DK1,2025,7,1,3,0,0
DK2,2013,3,1,6,0,0
DK2,2014,1,1,3,0,0
DK2,2015,2,0,1,0,0
DK2,2016,5,1,5,0,0
DK2,2017,2,0,3,0,0
DK2,2018,2,0,11,0,0
DK2,2019,0,0,20,0,0
DK2,2020,1,0,14,0,0
DK2,2021,1,0,10,0,0
DK2,2022,0,0,14,0,0
DK2,2023,1,0,7,0,0
DK2,2024,1,0,11,0,0
DK2,2025,2,1,4,0,0
DS3,2025,0,0,0,1,0
EK3,2013,1,0,1,0,0
EK5,2013,1,1,2,0,0
EK5,2014,1,0,1,0,0
EL1,2023,1,0,1,0,0
FG2,2025,0,0,0,0,0
FO3,2016,0,1,0,0,1
FT1,2019,2,0,2,0,0
GI4,2022,0,1,0,0,0
GI4,2025,0,1,0,0,0
GP3,2023,0,1,0,3,0
GP4,2023,0,1,0,3,0
GR2,2016,1,0,1,0,0
GT1,2013,0,1,0,1,0
GT1,2018,0,1,0,1,0
GT1,2021,0,0,0,1,0
GT1,2023,0,0,0,1,0
GT2,2018,0,1,0,1,0
GT2,2023,0,0,0,1,0
GT2,2024,0,0,0,1,0
GT3,2016,0,1,0,1,0
GT3,2025,1,0,0,1,0
GT6,2023,0,0,0,0,0
GT7,2023,0,0,0,0,0
GT7,2024,0,0,0,0,0
GT8,2021,0,0,0,1,0
GT8,2025,0,0,0,1,0
HP1,2019,2,0,2,0,0
HP2,2019,2,0,2,0,0
HP6,2023,0,0,0,1,0
HR2,2015,0,0,0,1,0
IH1,2023,0,0,0,0,0
IH1,2025,0,0,0,0,0
IK2,2020,0,0,0,0,0
IN1,2013,0,0,0,2,0
IN2,2013,0,0,0,2,0
IN3,2013,0,0,0,2,0
IR2,2025,0,0,0,0,0
IS2,2025,0,0,0,3,0
IS3,2025,0,0,0,3,0
KS1,2013,0,1,1,0,0
KS1,2014,1,0,2,0,0
KS1,2015,1,1,2,0,0
KS1,2019,0,3,3,0,0
KS1,2020,1,0,1,0,0
KS1,2023,1,0,1,0,0
KS2,2014,1,0,2,0,0
KS2,2015,1,0,1,0,0
KS2,2019,0,3,4,0,0
KS2,2020,1,0,1,0,0
KT4,2014,0,0,0,1,0
KT4,2017,0,0,0,2,0
KT5,2015,0,0,0,1,0
KT5,2017,0,0,0,2,0
KT5,2025,0,0,0,1,0
LO1,2016,1,0,0,1,0
MI1,2022,0,0,0,0,0
MI2,2025,0,0,0,0,0
MP1,2021,0,0,0,1,0
MP1,2025,1,0,0,0,0
MP2,2023,0,0,0,1,0
MP2,2024,0,0,0,0,0
MP2,2025,2,0,0,1,0
MP3,2023,0,0,0,1,0
MP3,2024,0,0,0,0,0
MP3,2025,0,0,0,1,0
MP5,2023,0,0,0,1,0
NA1,2015,1,0,0,1,0
NO1,2013,9,1,12,1,0
NO1,2014,9,0,15,1,0
NO1,2015,7,1,12,1,0
NO1,2016,11,3,14,0,0
NO1,2017,2,2,19,0,0
NO1,2018,0,1,10,0,0
NO1,2019,2,0,15,0,0
NO1,2020,1,0,12,0,0
NO1,2021,0,1,9,0,0
NO1,2022,1,0,18,0,0
NO1,2023,1,0,10,0,0
NO1,2024,1,1,10,0,0
NO1,2025,4,1,4,1,0
NO2,2013,3,1,3,0,0
NO2,2014,12,0,5,4,0
NO2,2015,18,1,13,0,0
NO2,2016,14,0,15,0,0
NO2,2017,7,2,22,0,0
NO2,2018,6,0,20,0,0
NO2,2019,1,0,26,0,0
NO2,2020,1,0,8,0,0
NO2,2021,6,0,15,0,0
NO2,2022,12,0,5,0,0
NO2,2023,6,3,2,0,0
NO2,2024,0,0,1,0,0
NO2,2025,15,1,1,0,0
NO3,2013,2,0,2,0,0
NO3,2014,1,0,4,0,0
NO3,2015,0,0,1,0,0
NO3,2016,9,1,11,0,0
NO3,2017,0,0,7,0,0
NO3,2018,0,1,9,0,0
NO3,2019,0,0,4,0,0
NO3,2020,2,0,5,0,0
NO3,2021,0,0,5,0,0
NO3,2022,0,0,3,0,0
NO3,2023,1,0,7,0,0
NO3,2024,0,0,4,0,0
NO3,2025,1,2,0,1,0
NO4,2013,2,0,2,0,0
NO4,2014,1,0,1,0,0
NO4,2015,1,0,1,0,0
NO4,2016,10,0,10,0,0
NO4,2017,0,0,6,0,0
NO4,2018,0,0,6,0,0
NO4,2019,0,0,3,0,0
NO4,2020,0,0,0,0,0
NO4,2021,0,0,7,0,0
NO4,2022,0,0,2,0,0
NO4,2023,0,0,2,0,0
NO4,2024,0,0,3,0,0
NO4,2025,0,1,0,0,0
NO5,2013,1,0,0,1,0
NO5,2014,5,0,0,5,0
NO5,2015,1,0,0,1,0
NO5,2016,4,2,5,0,0
NO5,2017,1,1,7,0,0
NO5,2018,0,1,6,0,0
NO5,2019,0,0,2,0,0
NO5,2020,1,0,2,0,0
NO5,2021,0,0,2,0,0
NO5,2022,0,0,0,0,0
NO5,2023,0,0,4,0,0
NO5,2024,0,0,3,0,0
NO5,2025,11,2,1,1,0
OL2,2024,0,0,0,1,0
OL2,2025,0,0,0,2,0
OL3,2022,0,0,0,0,0
OL3,2023,1,0,0,18,0
OL3,2024,1,0,1,5,0
OL3,2025,55,0,0,5,0
PB5,2021,1,0,0,1,0
PB6,2020,2,0,0,2,0
PB7,2024,0,0,0,1,0
PB7,2025,0,0,0,1,0
PB8,2024,0,0,0,1,0
PB8,2025,0,0,0,1,0
PH1,2016,1,0,0,0,0
PH1,2018,0,0,0,0,0
PH1,2022,1,0,0,0,0
PH1,2023,0,0,0,0,0
PH1,2024,0,0,0,0,0
PH3,2016,0,0,0,0,0
PH3,2022,0,0,0,0,0
PH6,2018,0,0,0,0,0
PH6,2021,0,0,0,0,0
PH7,2023,0,0,0,0,0
PH7,2024,0,0,0,0,0
PH8,2020,0,0,0,0,0
PH8,2022,1,0,0,0,0
PH8,2023,0,0,0,0,0
PH9,2023,0,0,0,0,0
PM2,2015,0,0,0,0,0
PM2,2019,0,0,0,0,0
PM5,2015,0,0,0,0,0
PT1,2024,0,0,1,0,0
PT4,2015,0,1,1,0,0
PT4,2021,0,0,1,0,0
PT4,2022,0,0,1,0,0
RP1,2025,0,0,0,0,0
RP2,2025,0,0,0,0,0
SE1,2013,2,0,2,0,0
SE1,2014,1,0,1,0,0
SE1,2015,1,0,1,0,0
SE1,2016,6,0,6,0,0
SE1,2017,0,0,4,0,0
SE1,2018,1,0,3,0,0
SE1,2019,0,2,3,0,0
SE1,2020,1,0,1,0,0
SE1,2021,1,0,5,0,0
SE1,2022,1,0,6,0,0
SE1,2023,0,0,5,0,0
SE1,2024,1,0,7,0,0
SE1,2025,2,1,3,0,0
SE2,2013,4,0,4,0,0
SE2,2014,1,0,3,0,0
SE2,2015,4,0,5,0,0
SE2,2016,5,0,5,0,0
SE2,2017,0,0,9,0,0
SE2,2018,2,2,9,0,0
SE2,2019,0,0,2,0,0
SE2,2020,4,0,8,0,0
SE2,2021,0,0,11,0,0
SE2,2022,3,1,29,0,0
SE2,2023,2,0,25,0,0
SE2,2024,4,0,20,0,0
SE2,2025,0,0,4,0,0
SE3,2013,14,1,19,0,0
SE3,2014,15,4,17,0,16
SE3,2015,12,3,17,0,0
SE3,2016,10,3,13,0,0
SE3,2017,2,2,20,0,0
SE3,2018,3,0,21,0,0
SE3,2019,7,2,16,0,0
SE3,2020,7,0,26,0,0
SE3,2021,0,2,38,0,0
SE3,2022,6,1,48,0,0
SE3,2023,3,1,37,0,0
SE3,2024,6,0,25,0,0
SE3,2025,5,1,6,0,0
SE4,2013,6,1,11,0,0
SE4,2014,1,1,5,0,0
SE4,2015,1,0,1,0,0
SE4,2016,2,0,2,0,0
SE4,2017,3,0,9,0,0
SE4,2018,3,0,15,0,0
SE4,2019,2,1,297,0,0
SE4,2020,2,7,552,0,0
SE4,2021,0,0,18,0,0
SE4,2022,2,1,34,0,0
SE4,2023,3,3,40,0,0
SE4,2024,5,0,22,0,0
SE4,2025,2,1,16,0,0
SF6,2013,1,0,2,0,0
SF6,2014,1,0,1,0,0
SF6,2015,5,1,4,0,2
SF6,2016,1,0,0,1,0
SF6,2018,0,2,0,0,0
SF6,2020,0,1,2,0,0
SH1,2013,0,0,0,0,0
SK1,2013,5,2,7,0,0
SK1,2014,14,0,31,0,0
SK1,2015,1,0,1,0,0
SK1,2018,0,0,1,0,0
SK1,2019,4,2,7,0,0
SK1,2020,0,0,2,0,0
SK2,2013,4,3,7,0,0
SK2,2014,14,0,31,0,0
SK2,2018,0,1,2,0,0
SK2,2020,2,0,3,0,0
SK3,2013,6,1,7,0,0
SK3,2014,15,1,32,0,0
SK4,2014,5,1,21,0,0
SK4,2015,5,0,5,0,0
SK4,2016,1,3,5,0,0
SK4,2018,0,0,1,0,0
SK4,2019,0,2,4,0,0
SK4,2020,0,0,1,0,0
SK4,2022,0,2,3,0,0
SK4,2023,0,0,2,0,0
SQ1,2025,0,0,0,0,0
TA1,2022,0,0,0,1,0
TA1,2023,0,0,0,1,0
TA2,2022,0,0,0,1,0
TA3,2022,0,0,1,0,0
TE5,2014,0,0,1,0,0
TH1,2021,0,0,0,1,0
TH1,2023,0,0,0,0,0
TH1,2024,0,0,0,0,0
TH1,2025,0,0,0,1,0
TH2,2023,0,0,0,0,0
TH2,2024,0,0,0,0,0
TH2,2025,0,0,0,0,0
TH3,2024,0,0,0,0,0
TH4,2021,0,0,0,1,0
TH4,2024,0,0,0,0,0
TN1,2016,5,0,0,5,0
TN2,2015,1,0,0,1,0
TN2,2016,2,0,0,2,0
TN2,2017,2,0,0,2,0
TN3,2015,1,0,0,1,0
TN3,2016,2,0,0,2,0
TN3,2017,1,0,0,1,0
TN4,2015,1,0,0,1,0
TN4,2017,1,0,0,1,0
TN5,2015,2,0,0,2,0
TN5,2016,5,0,0,5,0
TN6,2016,1,0,0,1,0
TR3,2020,0,0,0,0,0
